id,title,language_name,language_glottocode,example_languages
5005,"Quantifying sentence acceptability measures: Reliability, bias, and variability",,,
5006,Auditory disruption improves word segmentation: A functional basis for lenition phenomena,,,
5007,"Grammaticalized number, implicated presuppositions, and the plural",,,
5008,Recognizing copies: On the definition of Non-Distinctiveness,,,
5009,Nominal structure in a language without articles: The case of Estonian,,,
5010,"Selection, idioms, and the structure of nominal phrases with and without classifiers",,,
5011,What the EPP and COMP-trace effects have in common: Constraining silent elements at the edge,,,
5012,Thank you to reviewers (2015–2018),,,
5013,Quantity judgment studies in Yudja (Tupi): Acquisition and interpretation of nouns,,,
5014,Second-language processing of English mass-count nouns by native-speakers of Korean,,,
5015,Latent homomorphism and content satisfaction: The double life of Turkic auxiliary –(İ)p bol–,,,
5016,"Exponence, allomorphy and haplology in the number and State morphology of Modern Hebrew",,,
5017,Intervention effects in NPI licensing: A quantitative assessment of the scalar implicature explanation,,,
5018,The pragmatics of descriptive and metalinguistic negation: experimental data from French,,,
5019,Complex copula systems as suppletive allomorphy,,,
5020,The mass-count distinction in Dutch-speaking children with specific language impairment,,,
5021,Adverb placement among heritage speakers of Spanish,,,
5022,Nouns are both mass and count: Evidence from unclassified nouns in adult and child Mandarin Chinese,,,
5023,Probabilistic grammar and constructional predictability: Bayesian generalized additive models of help + (to) Infinitive in varieties of web-based English,,,
5024,Metalinguistic negation from an informational perspective,,,
5025,Word order in German child language and child-directed speech: A corpus analysis on the ordering of double objects in the German middlefield,,,
5026,A set of semantic and pragmatic criteria for descriptive vs. metalinguistic negation,,,
5027,This is personal: Impersonal middles as disposition ascriptions,,,
5028,Quantifier domain restriction as ellipsis,,,
5029,Individuals and non-individuals in cognition and semantics: The mass/count distinction and quantity representation,,,
5030,Competing analyses and differential cost in the production of non-subject relative clauses,,,
5031,"Quantity judgment and the mass-count distinction across languages: Advances, problems, and future directions for research",,,
5032,*NEG NEG,,,
5033,Approaches to head movement: A critical assessment,,,
5034,The language instinct in extreme circumstances: The transition to tactile Italian Sign Language (LISt) by Deafblind signers,,,
5035,Recursive prosodic words in Kaqchikel (Mayan),,,
5036,Another look at the interpretation of overt and null pronominal subjects in bilingual language acquisition: Heritage Portuguese in contact with German and Spanish,,,
5037,Two types of quantifier particles: Quantifier-phrase internal vs. heads on the clausal spine,,,
5038,The interpretation of the mass-count distinction across languages and populations: Introduction,,,
5039,Prosodic focus in English vs. French: A scope account,,,
5040,Showcasing the interaction of generative and emergent linguistic knowledge with case marker omission in spoken Japanese,,,
5041,Effects of linguistic context on the acceptability of co-speech gestures,,,
5042,-Able adjectives and the syntax of psych verbs,,,
5043,The acquisition of adjunct control is colored by the task,,,
5044,"Missing objects in Hebrew: Argument ellipsis, not VP ellipsis",,,
5045,An experimental investigation of the binding options of demonstrative pronouns in German,,,
5046,Why are verbal nouns more verbal than finite verbs? New insights into the interpretation of the P200 verbal signature,,,
5047,Missing inflectional features and missing exponents in DP-internal agreement asymmetries,,,
5048,Antepenultimate stress in Spanish: In defense of syllable weight and grammatically-informed analogy,,,
5049,Functional motivations behind direct object fronting in written Swedish: A corpus-distributional account,,,
5050,"Locality, control, and non-adjoined islands",,,
5051,Scope marking and prosody in Hungarian,,,
5052,Movement and structure effects on Universal 20 word order frequencies: A quantitative study,,,
5053,SyMiLa and the Atlas linguistique de la France: A tool for the study of Gallo-Romance syntax,,,
5054,Modulation of the following segment effect on English coronal stop deletion by syntactic boundaries,,,
5055,"Datives, data and dialect syntax in American English",,,
5056,From additivity to mirativity: The Cantonese sentence final particle tim1,,,
5057,Indicating verbs as typologically unique constructions: Reconsidering verb ‘agreement’ in sign languages,,,
5058,The square of disposition,,,
5059,What do speaker judgments tell us about theories of quantifier scope in German?,,,
5060,Case/agreement matching: Evidence for a cognitive bias,,,
5061,Self-embedding and complexity in oral registers,,,
5062,General introduction: A comparative perspective on probabilistic variation in grammar,,,
5063,Long-distance extraction attraction: A production-based account of an unexpected cross-linguistic structure,,,
5064,Exhaustivity in single bare wh-questions: A differential-analysis of exhaustivity,,,
5065,DOM and dative case,,,
5066,On “zero” and semantic plurality,,,
5067,"The acquisition of Hebrew idioms: Stages, internal composition, and implications for storage",,,
5068,The reliability of acceptability judgments across languages,,,
5069,The syntax of Basque allocutive clitics,,,
5070,Word formation is syntactic: Raising in nominalizations,,,
5071,The abundance inference of pluralised mass nouns is an implicature: Evidence from Greek,,,
5072,Tot (aan) het einde ((aan) toe): The internal syntax of a Dutch complex PP,,,
5073,The effects of discourse topic on global and local markers in Croatian ditransitives,,,
5074,Evidentials are syntax-sensitive: The view from Bangla,,,bang1341
5075,"The syntax of sign language agreement: Common ingredients, but unusual recipe",,,
5076,A Dual-Process Activation Model: Processing definiteness and information status,,,
5077,Co-speech gesture projection: Evidence from inferential judgments,,,
5078,Māori subject extraction,,,maor1246
5079,The raising-to-object construction in Puyuma and its implications for a typology of RTO,,,puyu1239
5080,Exploiting microvariation: How to make the best of your incomplete data,,,
5081,Loss and preservation of case in Germanic non-standard varieties,,,
5082,The morphology of first-person object forms of directional verbs in ASL,,,
5083,Locative Shift,,,
5084,Basic argument structure in Russian Sign Language,,,russ1271
5085,Revisiting a null pronominal account for parasitic gaps in Japanese,,,nucl1643
5086,The silent argument of broad focus: Typology and predictions,,,ital1282
5087,(*)ABA in Germanic verbs,,,
5088,Fully realizing partial realization,,,
5089,Rising declaratives of the Quality-suspending kind,,,
5090,Unexpected agreement in Spanish revisited,,,
5091,Detecting clauses and their dependencies in signed utterances: A syntactico-semantic approach,,,
5092,Complementizer agreement with coordinated subjects in Polish,,,poli1260
5093,To wish or not to wish: Modality and (metalinguistic) negation,,,
5094,"Lexical case marking affects the processing of animacy in simple verbs, but not particle verbs: Evidence from event-related potentials",,,
5095,Case valuation after scrambling: Nominative objects in Japanese,,,nucl1643
5096,Perspective is syntactic: evidence from anaphora,,,
5097,A memory-based explanation of antecedent-ellipsis mismatches: New insights from computational modeling,,,
5098,Excluding exclusively the exclusive: Suppletion patterns in clusivity,,,
5099,Generic and action-dependent abilities in Spanish ‘Be capable’,,,
5100,Something visible in Japanese,,,nucl1643
5101,Modal particles and sentence type restrictions: A construction grammar perspective,,,
5102,The head the construct: Construct state nominals as a novel window to syntactic movement difficulties in hearing impairment,,,
5103,"Possessors move through the edge, too",,,
5104,Novel compounding and the emergence of structure in two young sign languages,,,
5105,Dispositional causation,,,
5106,Case vs. positions in the locality of A-movement,,,
5107,Testing theories of temporal inferences: Evidence from child language,,,
5108,Polysemy and co-predication,,,
5109,Comparing sign language and gesture: Insights from pointing,,,
5110,Differential object marking in sign languages,,,
5111,Wide scope indefinites in Russian: an experimental investigation,,,russ1263
5112,On the Inverse Trace Conversion and maximal informativeness analysis of Japanese internally-headed relative clauses: A reply to,,,
5113,Structural ambiguity and optionality of agreement patterns in Bosnian/Croatian/Serbian conjunct agreement,,,sout1528
5114,"Pushes and pulls from below: Anatomical variation, articulation and sound change",,,
5115,Associating the origin and spread of sound change using agent-based modelling applied to /s/-retraction in English,,,
5116,Resolving conflicts with violable constraints: On the cross-modular parallelism of repairs,,,
5117,The competitive tier model – Element subtraction in German and Pomeranian,,,
5118,Acceptability of at-issue co-speech gestures under contrastive focus,,,
5119,A Q-based approach to clausal ellipsis: Deriving the preposition stranding and island sensitivity generalisations without movement,,,
5120,"What the PCC tells us about “abstract” agreement, head movement, and locality",,,
5121,The individual in the semiotic landscape,,,
5122,Simplifying MATCH WORD: Evidence from English functional categories,,,
5123,No possessor inversion in German PPs,,,
5124,The status of function words in dependency grammar: A critique of Universal Dependencies (UD),,,
5125,No evidence for prosodic effects on the syntactic encoding of complement clauses in German,,,
5126,"Adverbial clauses: Internally rich, externally null",,,
5127,Let’s talk emotions: A case study on affective grammar,,,
5128,Should a conditional marker arise … The diachronic development of conditional sollte in German,,,
5129,Seenku argument-head tone sandhi: Allomorph selection in a cyclic grammar,,,
5130,A usage-based alternative to “lexicalization” in sign language linguistics,,,
5131,Adjectives relate individuals to states: Evidence from the two readings of English Determiner + Adjective,,,
5132,How to agree with a QNP,,,
5133,"The Nordic research infrastructure for syntactic variation: Possibilities, limitations and achievements",,,
5134,Morphosyntactic encoding of information structure in Akan,,,akan1250
5135,Perturbing the community grammar: Individual differences and community-level constraints on sociolinguistic variation,,,
5136,Phonotactic restrictions and morphology in Aymara,,,
5137,Proper movement through Spec-CP: An argument from hyperraising in Mongolian,,,halh1238
5138,Dialect syntax as a testbed for models of innovation and change: Modals and negative concord in the Syntactic Atlas of Welsh Dialects,,,
5139,The roots of measurement,,,kaqc1270
5140,Resolving polite conflicts in predicate agreement,,,
5141,The properties of perfect(ive) and (eventive) passive participles: An identity approach,,,
5142,A feature geometric approach to Bondu-so vowel harmony,,,
5143,Measuring the cognitive cost of downward monotonicity by controlling for negative polarity,,,
5144,Determining underlying presence in the learning of grammars that allow insertion and deletion,,,
5145,What’s wrong with being a rhotic?,,,
5146,Towards understanding nonmanuality: A semiotic treatment of signers’ head movements,,,
5147,The syntactic structure of pelirrojo compounds,,,
5148,"Gradability, scale structure, and the division of labor between nouns and adjectives: The case of Japanese",,,
5149,Body-anchored verbs and argument omission in two sign languages,,,
5150,Correction: Quantifier spreading: Children misled by ostensive cues,,,
5151,Un tal Ernestico/a certain Ernestico: On the structure of proper names,,,
5152,Speech act attenuation in the history of English: The case of apologies,,,
5153,The multi-valuation Agreement Hierarchy,,,
5154,A target-oriented approach to neutrality in vowel harmony: Evidence from Hungarian,,,hung1274
5155,Adverbial clauses and adverbial concord,,,
5156,The effects of L1 AP-initial boundary tones and laryngeal features in Korean adaptation of Japanese plosives followed by a H or L vowel,,,
5157,Lexical aspect and number variation in French Complex Event Nominals,,,stan1290
5158,Differential Object Marking and the properties of D in the dialects of the extreme south of Italy,,,
5159,The many faces of uniformitarianism in linguistics,,,
5160,Agreement with conjoined singular noun phrases in Icelandic,,,icel1247
5161,Quantifier Scope in Russian,,,russ1263
5162,Phonetic lapse in American English -ative,,,
5163,Recomplementation in English and Spanish: Delineating the CP space,,,
5164,Identifying agents of change: Simplification of possessive marking in Abui-Malay bilinguals,,,alor1252
5165,Talking about the weather: Two construals of precipitation events in English,,,
5166,Russian definitional generic sentences,,,
5167,Reconsidering asymmetries in voice-mismatched VP-ellipsis,,,
5168,Bipartite network structures and individual differences in sound change,,,
5169,The pro-head analysis of the Japanese internally-headed relative clause,,,
5170,Sound change and coarticulatory variability involving English /ɹ/,,,
5171,Two minds are not always better than one: Modeling evidence for a single sentence analyzer,,,
5172,V1 in Kipsigis: Head movement and discourse-based scrambling,,,kips1239
5173,"Basque adjectival participles: Stative, resultative or experiential",,,
5174,Structural priming in production through ‘silence’: An investigation of verb phrase ellipsis and null complement anaphora,,,
5175,Minding the gap?: Mechanisms underlying resumption in English,,,
5176,Quirks of subject (non-)extraction in Igbo,,,nucl1417
5177,The syntax of comparison constructions in diachronic and dialectal perspective,,,
5178,Deceptive datives: Prepositional case in Latvian,,,latv1249
5179,Defining iconicity: An articulation-based methodology for explaining the phonological structure of ideophones,,,
5180,Ergative is not inherent: Evidence from *ABA in suppletion and syncretism,,,
5181,Effects of syntactic structure on the comprehension of clefts,,,
5182,Gothic <r> and Old High German <r>: Implications from phonological patterning,,,
5183,Accompaniment by participation: The interpretation of mit as a free particle in German,,,
5184,"Classifiers, partitions, and measurements: Exploring the syntax and semantics of sortal classifiers",,,chol1282
5185,Repair or accommodation? Split antecedent ellipsis and the limits of repair,,,
5186,Bavarian German r-Flapping: Evidence for a dialect-specific sonority hierarchy,,,
5187,Brazilian Portuguese in-situ wh-interrogatives between rhetoric and change,,,
5188,Possessors in switch-reference,,,
5189,Agent defocusing in two-participant clauses in Finnish Sign Language,,,finn1310
5190,Correlate not optional: PP sprouting and parallelism in “much less” ellipsis,,,
5191,Clitic climbing (or lack thereof) and the Copy Theory of Movement,,,
5192,To be or not to be informational: Preverbal complements in Medieval French V2 configurations,,,
5193,Telling allomorphy from agreement,,,
5194,A movement theory of adjunct control,,,
5195,Empty morphemes in Dutch dialect atlases: Reducing morphosyntactic variation by refining emptiness typology,,,
5196,Floating quantifiers are autonomous phrases: A movement analysis,,,
5197,On the nature of the discourse effect on extraction in Japanese,,,
5198,Concord and agreement features in Modern Standard Arabic,,,
5199,A syntax for semantic incorporation: generating low-scope indefinite objects in Inuktitut,,,
5200,"Towards a correlation of form, use and meaning of German ge-prefixed predicative participles",,,
5201,Moraic Domains between feet and syllables: An argument from vowel reduction typology,,,
5202,‘Embu’ Wh- questions in Cypriot Greek: A comparative study,,,cypr1249
5203,Antecedent accessibility and exceptional covariation: Evidence from Norwegian Donkey Pronouns,,,
5204,A feeding Duke-of-York interaction of tone and epenthesis in Arapaho,,,arap1274
5205,Objects in motion verb phrases,,,
5206,Q-particles and the nature of covert movement: Evidence from Bùlì,,,buli1254
5207,Ellipsis licensing and redundancy reduction: A focus-based approach,,,
5208,What usage can tell us about grammar: Embedded verb second in Scandinavian,,,
5209,The Agreement Theta Generalization,,,
5210,Intonational phonology of Boro,,,boro1283
5211,An investigation of numeral quantifiers in English,,,
5212,The syntax and semantics of past participle agreement in Alemannic,,,alem1243
5213,Microparameters and language variation,,,
5214,Contrast and word order: A case study on the history of Portuguese,,,
5215,Origin and structure of focus concord constructions in Old Japanese – a synthesis,,,
5216,"Participles: Form, use and meaning",,,
5217,Can gapping be embedded? Experimental evidence from Spanish,,,
5218,Partitives and Partitivity,,,
5219,Templatic morphology through syntactic selection: Valency-changing extensions in Kinyarwanda,,,kiny1244
5220,Numerals under negation: Empirical findings,,,
5221,Verbal mismatch in Right-Node Raising,,,
5222,Subject/non-subject movement asymmetries in Late Archaic Chinese,,,
5223,On the status of Concordantia Temporum in Spanish: An experimental approach,,,
5224,Syntactic and cognitive issues in investigating gendered coreference,,,
5225,Reconstructing Clitic Doubling,,,
5226,Mismatches in free relatives – grafting nanosyntactic trees,,,
5227,Eppur non si muove: Experimental evidence for the Unaccusative Hypothesis and distinct ɸ-feature processing in Basque,,,
5228,Gender Representation and Defaults in Lithuanian,,,
5229,Estimating child linguistic experience from historical corpora,,,
5230,The relationship between verbal form and event structure in sign languages,,,
5231,"Did language evolve through language change? On language change, language evolution and grammaticalization theory",,,
5232,An exploratory study of voicing-related differences in vowel duration as compensatory temporal adjustment in Italian and Polish,,,
5233,Focus particles and negative scope: Both evidence for syntactic integration?,,,
5234,Intervention effects in wh-chains: the combined effect of syntax and processing,,,
5235,"Japanese internally-headed and doubly-headed relative constructions, and a comparison of two approaches",,,
5236,Usage patterns in the development of Hebrew grammatical subjects,,,
5237,Dispositions and characterizing sentences,,,
5238,The phonology and micro-typology of Arabic R,,,
5239,Rethinking templates: A syntactic analysis of verbal morphology in Emirati Arabic,,,
5240,Young vs. old Koreans’ vowel insertion after word-final English and French postvocalic plosives: A case of contact-induced borrowing change,,,
5241,Language disintegration under conditions of severe formal thought disorder,,,
5242,The role of prosody in overt pronoun resolution in a null subject language and in a non-null subject language: A production study,,,
5243,Mbyá resultatives and the structure of causation,,,
5244,The grammaticalisation of a copula in vernacular Arabic,,,
5245,On reconstruction effects in English wh-slifting: Theoretical and experimental considerations,,,
5246,Raising applicatives and possessors in Tagalog,,,
5247,Head movement to specifier positions,,,
5248,Inducing and blocking labeling,,,
5249,Category-specific effects in Welsh mutation,,,wels1247
5250,Language design and communicative competence: The minimalist perspective,,,
5251,"Discourse particles in early English: Clause structure, pragmatics and discourse management",,,
5252,Subject and non-subject ex-situ focus in Dagbani,,,
5253,Modality force and syntax in an understudied class of reduced why-questions in English,,,
5254,"The incremental processing of focus, givenness and prosodic prominence",,,
5255,"Not Known: Anonymous, Unknown or Non-known? A pilot test on the interpretation of negated absolute adjectives in Romanian",,,
5256,Resumption as a sluicing source in Saudi Arabic: Evidence from sluicing with prepositional phrases,,,
5257,Applied arguments in Spanish inchoative middle constructions,,,
5258,Expressive Sibilant Retraction in North Norwegian: morpheme or ‘spoken gesture’?,,,norw1258
5259,Initial lenition and strength alternations (v/b) in Neapolitan: A laryngeal Branchingness condition,,,
5260,Restructuring and the scope of negation in Hindi-Urdu,,,
5261,The derivation of highest subject questions and the nature of the EPP,,,
5262,Constraints on German diese demonstratives: language formality and subject-avoidance,,,
5263,"The head of the nominal is N, not D: N-to-D Movement, Hybrid Agreement, and conventionalized expressions",,,
5264,“We Olaf”: Pro[(x-)NP] constructions in Icelandic and beyond,,,
5265,Crossing and stranding at edges: On intermediate stranding and phase theory,,,
5266,"Conjunction resolution is nonsyntactic, say paucals",,,
5267,Viewing dialect change through acceptability judgments: A case study in Shetland dialect,,,
5268,XP- and X⁰-movement in the Latin verb: Evidence from mirroring and anti-mirroring,,,
5269,Island effects in Spanish comprehension,,,
5270,Hybrid intransitives in Basque,,,
5271,How to be positive,,,
5272,French schwa and gradient cumulativity,,,
5273,A “borderline case” of syntactic variation,,,
5274,"Left branch extraction, object shift, and freezing effects in Tumbalá Ch’ol",,,
5275,Object attraction and the role of structural hierarchy: Evidence from Persian,,,
5276,Anti-reflexivity and logophoricity: an account of unexpected reflexivization contrasts,,,
5277,Verbalizing nouns and adjectives: The case of behavior-related verbs,,,
5278,In situ mixed wh-coordination and the argument/adjunct distinction,,,
5279,The structure of Polish numerically-quantified expressions,,,
5280,Vowel unpredictability in Hijazi Arabic monosyllabic verbs,,,
5281,A biclausal account of Clitic Left-Dislocations with epithets in Rioplatense Spanish,,,riop1234
5282,The many functions of Cuzco Quechua =pas: implications for the semantic map of additivity,,,
5283,Priming quantifier scope: Reexamining the evidence against scope inversion,,,
5284,On EPP effects and the properties of Core Functional Categories,,,
5285,A morpheme introducing degrees and its impact on argument structure: The Taiwanese Southern Min U,,,
5286,The processing of subject pronouns in highly proficient L2 speakers of English,,,
5287,Possession and nominalization in Dan: Evidence for a general theory of categories,,,
5288,Gender diversity and morphosyntax: An account of singular they,,,
5289,The semantics of Spanish compounding: An analysis of NN compounds in the Parallel Architecture,,,
5290,A split approach to the selection of allomorphs: Vowel length alternating allomorphy in Dutch,,,
5291,On the syntax of object pronouns in Old English and Early Middle English,,,
5292,Complementizer agreement is not allomorphy: A reply to Weisser (),,,
5293,Challenges in detecting evolutionary forces in language change using diachronic corpora,,,
5294,Gapping is not only low coordination,,,
5295,Contrastive focus reduplication and the modification puzzle,,,
5296,Rhotic underspecification: Deriving variability and arbitrariness through phonological representations,,,
5297,"Causal necessity, causal sufficiency, and the implications of causative verbs",,,
5298,What type of subjectivity lies behind French causal connectives? A corpus-based comparative investigation of car and parce que,,,
5299,"Verum focus is verum, not focus: Cross-linguistic evidence",,,
5300,"Vestigial ergativity in Shughni: At the intersection of alignment, clitic doubling, and feature-driven movement",,,
5301,D and N are different nominalizers,,,
5302,Mandative verbs and deontic modals in Russian: Between obligatory control and overt embedded subjects,,,
5303,Null/overt subject alternations in L2 Spanish and L2 Greek,,,
5304,Unlearnable phonotactics,,,
5305,Signs activate their written word translation in deaf adults: An ERP study on cross-modal co-activation in German Sign Language,,,
5306,"Adjectives exist, adjectivisers do not: a bicategorial typology",,,
5307,Reconsidering variation and change in the Medieval French subject system,,,
5308,Inside out: A note on the hierarchical update of nominal modifiers,,,
5309,Fronting in Old Spanish,,,olds1249
5310,Facilitator effects in middles and more,,,
5311,Object marking in German Sign Language (Deutsche Gebärdensprache): Differential object marking and object shift in the visual modality,,,
5312,The why-how alternation and a new test for sentential negation—on negated how-questions,,,
5313,"Agreement, disagreement and the NP vs. DP debate",,,
5314,Phonetics and phonology of schwa insertion in Central Yiddish,,,
5315,On the historical source of a ~ u alternations in Dëne Sųłıné optative paradigms,,,
5316,Functional structure in the noun phrase: revisiting Hebrew nominals,,,
5317,The third person gap in adnominal pronoun constructions,,,
5318,Object focus marking in Spanish: An investigation using three tasks,,,
5319,Anaphora resolution and word-order across adulthood: Ageing effects on online listening comprehension,,,
5320,The effect of three basic task features on the sensitivity of acceptability judgment tasks,,,
5321,Bilingual phonology in dichotic perception: A case study of Malayalam and English voicing,,,
5322,Not as you R: Adapting the French rhotic into Berber,,,
5323,Microparametric variation in the syntax of Spanish and Greek pronominal subjects,,,
5324,Gender flip and person marking in Benchnon (North Omotic),,,benc1235
5325,Processing ambiguities in attachment and pronominal reference,,,
5326,Dancing monkeys in Serbian and Korean – exhaustivity requirements on distributive share markers,,,
5327,The Anaphor Agreement Effect is not about featural deficiency: Evidence from Avar,,,avar1256
5328,Constructional analogy and reanalysis in possessive applicatives,,,
5329,Quantifier scope and information structure in Greek,,,
5330,Analyzing opacity with contextual faithfulness constraints,,,
5331,The NP vs. DP debate. Why previous arguments are inconclusive and what a good argument could look like. Evidence from agreement with hybrid nouns,,,
5332,Anti-locality and subject extraction,,,
5333,The article a(n) in English quantifying expressions: A default marker of cardinality,,,
5334,Word order preferences and the effect of phrasal length in SOV languages: evidence from sentence production in Persian,,,
5335,Evaluative adjective sentences: A question-based analysis of projection,,,
5336,Some interactional functions of finger pointing in signed language conversations,,,
5337,When hypotaxis looks like parataxis: embedding and complementizer agreement in Teiwa,,,teiw1235
5338,"Greek and English passives, and the role of by-phrases",,,
5339,A reanalysis of abstract contrasts and opacity in Bondu-so tongue root harmony,,,
5340,Conjunction saves multiple sluicing: How *(and) why?,,,
5341,A special case of long distance agreement in Marathi,,,mara1378
5342,Investigating the relationship between individual differences and island sensitivity,,,
5343,Variation in the use and interpretation of null subjects: A view from Greek and Italian,,,
5344,The morpho-syntactic encoding of discourse-linked topics: an agreement alternation in inversion in North-Eastern Italian varieties,,,ital1282
5345,Experimental evidence for the influence of structure and meaning on linear order in the noun phrase,,,
5346,Minimal sufficiency with covert even,,,
5347,Dialectal variation in the expression of que in sí-que ‘yes that’ contexts across Spanish: The case of some Latin American Spanish varieties,,,
5348,"Many systems, one strategy: Acquiring ordinals in Dutch and English",,,
5349,Polar response particles in French as remnants of ellipsis,,,stan1290
5350,Exceptionality in Assamese vowel harmony: A phonological account,,,assa1263
5351,Using social-media data to investigate morphosyntactic variation and dialect syntax in a lesser-used language: Two case studies from Welsh,,,
5352,Laughter as language,,,
5353,"Frequency, acceptability, and selection: A case study of clause-embedding",,,
5354,Pseudo-incorporation and its movement patterns,,,
5355,On the syntax of addressee in imperatives: insights from allocutivity,,,
5356,Encoding different types of topics and foci in German Sign Language. A cartographic approach to sign language syntax,,,
5357,Factivity from pre-existence: Evidence from Barguzin Buryat,,,barg1250
5358,"German concessives as TPs, JPs and ActPs",,,stan1295
5359,An analysis of all-clefts,,,
5360,Processing adjunct control: Evidence on the use of structural information and prediction in reference resolution,,,
5361,Deconstructing information structure,,,
